"","peel","SSB","F","index","year"
"1",1,28859.106006266,0.369052455090966,1,1980
"2",1,26392.386393208,0.260668360669372,2,1981
"3",1,20926.4011219269,0.457012955757126,3,1982
"4",1,17585.0775734383,0.553302553859804,4,1983
"5",1,11694.5875415381,0.7114846008087,5,1984
"6",1,8856.60404640572,0.809461047112661,6,1985
"7",1,6211.20438214308,0.448537014240161,7,1986
"8",1,5412.60668948023,0.53907882988308,8,1987
"9",1,4618.49113372709,0.526056958855681,9,1988
"10",1,4146.25267069527,0.374259416322335,10,1989
"11",1,4886.19134301504,0.429900804781172,11,1990
"12",1,5645.75660743161,0.408328986537142,12,1991
"13",1,7060.69015798073,0.46179379989898,13,1992
"14",1,7389.67248941295,0.501826197393868,14,1993
"15",1,6933.49939645067,0.592033419078915,15,1994
"16",1,7965.95033800903,0.40463625856505,16,1995
"17",1,8348.51271980799,0.296999349012428,17,1996
"18",1,7901.67418627284,0.359717070458081,18,1997
"19",1,8239.04558087547,0.302817980837327,19,1998
"20",1,9139.02979379713,0.237412521901695,20,1999
"21",1,12439.6256447964,0.198597045440903,21,2000
"22",1,12764.4588339585,0.239562580114852,22,2001
"23",1,9973.78465423218,0.279333833362735,23,2002
"24",1,7032.65275292142,0.256432911995224,24,2003
"25",1,6185.4836402267,0.24568583520071,25,2004
"26",1,5687.84399332216,0.161410451393632,26,2005
"27",1,6230.8037983185,0.165483829995854,27,2006
"28",1,7583.38238693644,0.107541208423756,28,2007
"29",1,10049.8020221849,0.132691396791953,29,2008
"30",1,12032.7750141803,0.126944605232614,30,2009
"31",1,13373.2107034877,0.120044043068924,31,2010
"32",1,14703.6496566546,0.0621838898241658,32,2011
"33",1,13298.8618505087,0.0653618521243071,33,2012
"34",1,12049.5004993809,0.0610274733802733,34,2013
"35",1,15378.8612361295,0.0466091015803276,35,2014
"36",1,17856.7025900023,0.0450745196847802,36,2015
"37",1,22351.0016857554,0.0330731642037633,37,2016
"38",1,24010.9969644013,0.031038276511867,38,2017
"39",1,22560.1277755589,0.0280463103163426,39,2018
"40",1,16605.3503967649,0.0348289134962481,40,2019
"41",1,14531.0396042777,0.0244774466914401,41,2020
