"","catch_upper","catch","catch_lower","year","SSB_upper","SSB","SSB_lower","F_upper","F","F_lower","R_upper","R","R_lower"
"1",38737.7366266496,36786.2212519475,34834.7058772454,1980,131650.837667573,121133.751692992,110616.66571841,0.397206296141082,0.349707342527685,0.302208388914288,187202.030331056,146325.297244951,105448.564158846
"2",24024.6468974296,20703.9991366943,17383.3513759591,1981,108668.781303793,98139.8473990624,87610.9134943322,0.27088879947042,0.241753419635885,0.21261803980135,162298.667856791,115585.609761653,68872.5516665156
"3",36462.303275828,31891.9631952348,27321.6231146415,1982,98503.5516798509,89655.8362737394,80808.1208676278,0.493755834317912,0.431919983485888,0.370084132653863,175647.640909786,138296.2766677,100944.912425613
"4",38740.2574402952,31931.697865106,25123.1382899168,1983,76200.3617524748,68858.1741176466,61515.9864828183,0.608108632219838,0.537440147168419,0.466771662117,133223.386227758,99708.7034257653,66194.020623773
"5",32099.0333633972,28047.8674151611,23996.701466925,1984,56430.0982147192,50937.5384616657,45444.9787086122,0.709206165183802,0.659655508245935,0.610104851308068,139680.330676692,106624.604227094,73568.8777774969
"6",21961.7843573414,18498.31236867,15034.8403799987,1985,37217.0388477636,33512.5191849715,29807.9995221795,0.76939419265887,0.716850255381987,0.664306318105104,131061.075771563,106817.09530377,82573.1148359762
"7",11912.9263062827,9802.94534975432,7692.96439322596,1986,29888.6365542741,25367.2151340188,20845.7937137636,0.474489545199869,0.421350546803934,0.368211548407999,149594.280240731,100228.302918001,50862.3255952716
"8",18369.537542499,14101.5793245525,9833.62110660609,1987,32650.1818639036,26461.6484243566,20273.1149848096,0.6380827984278,0.550623437033092,0.463164075638384,123018.678994357,86319.7368915901,49620.7947888232
"9",15346.1059697199,11500.3042602526,7654.50255078536,1988,31579.3088043914,24868.3956454766,18157.4824865618,0.568709615702701,0.50425159527143,0.439793574840158,179287.899974485,138583.03549024,97878.1710059957
"10",9971.48466478781,7035.56572247064,4099.64678015348,1989,35349.2907051395,25995.7597840712,16642.2288630029,0.366351212983741,0.330470124630742,0.294589036277743,141441.963125382,106821.940889329,72201.9186532759
"11",12973.2016919378,9488.5741324647,6003.94657299157,1990,38969.2820334582,27999.5419036348,17029.8017738114,0.504350842262628,0.43696937596051,0.369587909658391,166455.665690727,129506.931399099,92558.1971074706
"12",21326.2374653282,14887.0308727349,8447.82428014167,1991,52195.4238515545,36357.0476725796,20518.6714936046,0.435927363652946,0.394991324141719,0.354055284630493,193661.76315782,132568.053449697,71474.3437415746
"13",21958.5906032824,15343.8642256548,8729.13784802726,1992,48734.1687648037,36182.1123796752,23630.0559945466,0.506221233888687,0.454091015801951,0.401960797715215,159640.824357734,113665.222006366,67689.6196549977
"14",20172.0621196685,14381.1885038347,8590.3148880009,1993,46974.5681996109,36027.7707644439,25080.9733292769,0.547911132350067,0.464482631286659,0.38105413022325,210283.200668559,138056.663526743,65830.1263849269
"15",22826.1173943479,17647.7577129579,12469.3980315679,1994,44723.8525202763,36743.7510076365,28763.6494949966,0.655764687315721,0.558480070003788,0.461195452691855,142816.24189043,111492.073634931,80167.9053794316
"16",14203.4116973302,11146.6751400996,8089.93858286901,1995,38706.585710086,31694.5468827934,24682.5080555008,0.442958631074463,0.404742287999954,0.366525944925446,133988.302252055,107032.864269253,80077.4262864507
"17",10742.486380695,8034.74452379903,5327.00266690309,1996,48188.8524696003,35254.1481800554,22319.4438905104,0.303714441619247,0.272936932018493,0.242159422417739,182555.146587767,128353.333426249,74151.5202647308
"18",21988.5346750051,13202.794284911,4417.05389481678,1997,57137.0958360615,38691.6372313486,20246.1786266358,0.367862156020329,0.324730489145438,0.281598822270546,127475.858947299,102768.277702954,78060.6964586082
"19",12047.2289978336,8942.2604005179,5837.29180320224,1998,47197.2459101384,36133.0985945574,25068.9512789765,0.336839537423381,0.289170109618454,0.241500681813527,141738.293419092,120772.141453679,99805.9894882667
"20",10139.2822972977,7766.76137590487,5394.240454512,1999,53893.3102172677,40964.5381665317,28035.7661157957,0.260136871087386,0.230235017873908,0.200333164660431,125448.060508002,91646.9680565269,57845.8756050522
"21",9496.49145707538,7046.32764178801,4596.16382650064,2000,62083.9454806124,48074.3506253137,34064.7557700149,0.198577340524833,0.172994980061303,0.147412619597773,180787.011293816,124860.348267269,68933.6852407214
"22",12859.5663109145,9671.13130018566,6482.69628945677,2001,61346.2258679677,48680.9819368215,36015.7380056754,0.276453917532985,0.244356269026781,0.212258620520577,175306.743974143,122583.958859605,69861.1737450669
"23",13209.5040314725,10122.5761361584,7035.64824084422,2002,57886.5852635806,44924.1541167892,31961.7229699979,0.311520606985534,0.268063166467613,0.224605725949692,201290.726291787,141325.062822616,81359.3993534439
"24",12816.0217152371,9715.433514265,6614.84531329291,2003,64478.6762291088,47754.5878496058,31030.4994701027,0.254669408693204,0.227856283697826,0.201043158702448,170744.8725513,126616.64839251,82488.4242337207
"25",11837.7693091493,9078.71710878504,6319.66490842081,2004,62418.1792510012,46128.4329315009,29838.6866120006,0.266260165239244,0.228855097718711,0.191450030198178,154965.975266742,114030.27894595,73094.5826251587
"26",8071.56068909948,6359.58506270273,4647.60943630599,2005,63004.0701589173,47127.5748646451,31251.0795703728,0.163921666025182,0.148315229244362,0.132708792463542,150920.20774156,112437.671374949,73955.1350083387
"27",8303.41980333708,6297.01249468067,4290.60518602426,2006,66314.9290707767,49602.7118055513,32890.4945403259,0.171884775077638,0.151159209416583,0.130433643755528,180573.887798207,142911.020455621,105248.153113035
"28",7121.76475135136,5566.24990872187,4010.73506609237,2007,69767.7264500025,54084.1927068645,38400.6589637266,0.11639095603208,0.102319436166587,0.0882479163010938,154813.063889165,118409.340464599,82005.6170400319
"29",7636.42561266886,5780.75499332841,3925.08437398797,2008,73720.0089585371,55826.0954822698,37932.1820060024,0.130854736342147,0.116207040802848,0.101559345263549,160254.124937284,123114.848160757,85975.5713842289
"30",6692.78241692553,5163.31258128532,3633.84274564512,2009,71858.2069999488,54737.7984470573,37617.3898941658,0.12630367308155,0.114917590163278,0.103531507245005,133975.132479973,103853.220135114,73731.307790255
"31",6807.25384404884,4851.37649432027,2895.4991445917,2010,65815.9232754273,51493.919554931,37171.9158344347,0.116895283135748,0.103120532375886,0.0893457816160238,94999.1231317267,78081.1849520132,61163.2467722996
"32",4355.18833747424,2879.82249271173,1404.45664794921,2011,70144.137450581,52769.6208001406,35395.1041497001,0.0706364645723162,0.0600616413379786,0.049486818103641,193079.185408204,148788.271675521,104497.357942838
"33",4258.15639783255,3066.87486280081,1875.59332776907,2012,71988.6251700068,53623.5399541566,35258.4547383063,0.0680924009617103,0.0606251000334763,0.0531577991052424,120402.25202018,90891.8428464339,61381.4336726875
"34",3590.48556893664,2776.27361344536,1962.06165795408,2013,70255.6399369298,54425.5796380184,38595.519339107,0.0613460110794923,0.0550439704279953,0.0487419297764982,152874.731755961,113570.310750211,74265.889744462
"35",3735.66115656362,2686.16185453293,1636.66255250224,2014,82544.5432848863,65439.8425400681,48335.1417952499,0.0476684414030991,0.0425936935558925,0.0375189457086859,134727.831125938,99171.3497618556,63614.8683977731
"36",3281.45101363608,2451.75753441982,1622.06405520356,2015,89136.6667273363,73211.4337476238,57286.2007679112,0.0426800686276695,0.0379928975826935,0.0333057265377174,158122.66290486,122133.502792713,86144.342680566
"37",2598.80267690938,2050.47224841023,1502.14181991108,2016,97669.8709740901,83066.8573810087,68463.8437879273,0.0322256835377191,0.0290105425350784,0.0257954015324376,172233.990353715,124925.647218401,77617.304083086
"38",2473.64485349435,2066.44823670548,1659.25161991662,2017,98211.3555492565,84214.0512866937,70216.747024131,0.0306117848384944,0.0269971315536202,0.0233824782687461,169086.16539418,128572.554500611,88058.9436070416
"39",2505.53203708458,2111.96044231112,1718.38884753766,2018,94544.9529483157,81157.8086239886,67770.6642996615,0.0316757938508655,0.0280183285570195,0.0243608632631735,182322.993479309,137006.418261886,91689.8430444628
"40",2952.83037890942,2409.55923540218,1866.28809189495,2019,94879.0715581218,80862.9915929279,66846.911627734,0.0405253915375741,0.0359100839478252,0.0312947763580764,140146.748755837,107164.465432253,74182.1821086677
