"","peel","SSB","F","index","year"
"1",1,60131.0802226624,0.356118465337066,1,1980
"2",1,55263.8450424565,0.245051933494682,2,1981
"3",1,39253.0338481018,0.492212629868848,3,1982
"4",1,37379.2532199734,0.476749135431159,4,1983
"5",1,23341.6394845221,0.694516459757275,5,1984
"6",1,18286.5467222558,0.70347932178066,6,1985
"7",1,13223.4765179966,0.41450388099642,7,1986
"8",1,11511.6320338839,0.508670343680588,8,1987
"9",1,10340.0358882048,0.467701488662186,9,1988
"10",1,8772.6096494131,0.368911406839473,10,1989
"11",1,11623.288527986,0.392190465218534,11,1990
"12",1,11361.2672368048,0.428048092933807,12,1991
"13",1,14328.6422761347,0.471611398904383,13,1992
"14",1,16425.9113791339,0.482541290116724,14,1993
"15",1,17498.5551215985,0.49612687262432,15,1994
"16",1,18496.5777732008,0.330652031934332,16,1995
"17",1,18092.8634804728,0.264686638760036,17,1996
"18",1,15538.7452484543,0.339419398652454,18,1997
"19",1,16960.1495944061,0.31281535555098,19,1998
"20",1,18310.0727601291,0.258469856203077,20,1999
"21",1,26517.0076562504,0.18370674500282,21,2000
"22",1,28274.7209289705,0.206492145054864,22,2001
"23",1,23570.3889144157,0.225269494969842,23,2002
"24",1,15656.6273200841,0.220434095608959,24,2003
"25",1,13508.1689598544,0.198874417211509,25,2004
"26",1,11770.2409599163,0.147844317827962,26,2005
"27",1,14949.1675926339,0.135358111590919,27,2006
"28",1,15758.4348662816,0.0958721301932316,28,2007
"29",1,21077.6512739451,0.119231923713543,29,2008
"30",1,25062.2622624048,0.115320391543774,30,2009
"31",1,27560.9741995464,0.110570073127024,31,2010
"32",1,34018.2769203385,0.0524766462137635,32,2011
"33",1,28971.4295230242,0.0600106894708871,33,2012
"34",1,23121.3081848427,0.0628066350825635,34,2013
"35",1,33654.8910414726,0.0420317635718501,35,2014
"36",1,36375.8706594712,0.0449968846222775,36,2015
"37",1,48422.3276908236,0.030810863794091,37,2016
"38",1,49299.619564981,0.0295450840083391,38,2017
"39",1,51748.6659664786,0.0237922882281312,39,2018
"40",1,30845.6086034909,0.037432994342392,40,2019
"41",1,26798.3039152097,0.0266846952159969,41,2020
"42",2,60393.1216795971,0.351934032437752,1,1980
"43",2,55641.1977252036,0.240885164842515,2,1981
"44",2,39591.4145445033,0.481493329714548,3,1982
"45",2,37500.7675302311,0.466800158428035,4,1983
"46",2,23429.2900327817,0.680205405194607,5,1984
"47",2,18367.1309393737,0.703152213720228,6,1985
"48",2,13268.4317931994,0.411169490345577,7,1986
"49",2,11563.1505073446,0.500701236094401,8,1987
"50",2,10363.9631077867,0.460796741395144,9,1988
"51",2,8798.78307339741,0.359482148314322,10,1989
"52",2,11543.2468865797,0.387820741639576,11,1990
"53",2,11355.2573616155,0.420855998520416,12,1991
"54",2,14327.1013691756,0.467461926527806,13,1992
"55",2,16390.5639410169,0.483881285852041,14,1993
"56",2,17477.0038498271,0.499940670774397,15,1994
"57",2,18495.8354770048,0.328238510190847,16,1995
"58",2,18091.1463369159,0.262325038688007,17,1996
"59",2,15562.2392026274,0.336776807026403,18,1997
"60",2,16911.2513007808,0.310446768108612,19,1998
"61",2,18282.4558753499,0.257276681663077,20,1999
"62",2,26535.6530969142,0.180957363354718,21,2000
"63",2,28281.2314753796,0.205299280439256,22,2001
"64",2,23556.1658045802,0.224287392649933,23,2002
"65",2,15700.5840967472,0.221163710458826,24,2003
"66",2,13556.8543257275,0.198317660357421,25,2004
"67",2,11817.33402742,0.147442013500638,26,2005
"68",2,14953.594179507,0.136429709147185,27,2006
"69",2,15806.6103767777,0.0956894979563079,28,2007
"70",2,21124.1339684442,0.119425166140142,29,2008
"71",2,25186.7804162315,0.113777926616023,30,2009
"72",2,27950.0439825876,0.110882568377288,31,2010
"73",2,34883.1599112776,0.0508416838427115,32,2011
"74",2,29952.8727564325,0.0573542761455257,33,2012
"75",2,23854.9533145978,0.060173534079807,34,2013
"76",2,34311.3260504973,0.0404033515562836,35,2014
"77",2,36736.622977164,0.0432339601389011,36,2015
"78",2,48515.674933208,0.0295118407166634,37,2016
"79",2,49779.3970203097,0.028494766852829,38,2017
"80",2,52612.8774600008,0.0229388699576316,39,2018
"81",2,31702.1074920051,0.0358821357274977,40,2019
"82",3,60084.185876769,0.354224282370727,1,1980
"83",3,55321.3181265845,0.241912452633345,2,1981
"84",3,39492.0082130244,0.48283251537742,3,1982
"85",3,37323.1549908654,0.469827332231527,4,1983
"86",3,23399.9482620656,0.682619929165658,5,1984
"87",3,18293.32315019,0.711432335725524,6,1985
"88",3,13208.7579379288,0.413572919273141,7,1986
"89",3,11523.9736261241,0.501931768231423,8,1987
"90",3,10326.0148908454,0.462178982422219,9,1988
"91",3,8787.28728438822,0.359052027297913,10,1989
"92",3,11531.7934713893,0.388936571879645,11,1990
"93",3,11351.9187595234,0.419796604521659,12,1991
"94",3,14278.6222372875,0.468523816508776,13,1992
"95",3,16325.7316379094,0.487911117090768,14,1993
"96",3,17465.9901670816,0.505040317145554,15,1994
"97",3,18449.428750602,0.330899861730256,16,1995
"98",3,18033.8353060087,0.264074498202119,17,1996
"99",3,15530.9088834913,0.3404790767123,18,1997
"100",3,16842.8295782319,0.313046697787309,19,1998
"101",3,18258.7729524488,0.258739634789367,20,1999
"102",3,26413.0968488732,0.181963879033607,21,2000
"103",3,28109.0119256369,0.207642110466589,22,2001
"104",3,23396.859781841,0.227816923326537,23,2002
"105",3,15645.9420815178,0.224532688286929,24,2003
"106",3,13492.361289071,0.201138900013186,25,2004
"107",3,11767.0267846818,0.149168018641311,26,2005
"108",3,14864.3924570422,0.138873858326695,27,2006
"109",3,15775.2261120772,0.0968825893801276,28,2007
"110",3,21073.2298538472,0.121792303475286,29,2008
"111",3,25426.1752117532,0.114856222866295,30,2009
"112",3,28005.6400809406,0.11278245905706,31,2010
"113",3,34303.775408163,0.0521438916511707,32,2011
"114",3,29486.5462650871,0.0579874698066771,33,2012
