"","V1","V2","V3","V4","year","catch_upper","catch","catch_lower","SSB_upper","SSB","SSB_lower","F_upper","F","F_lower","R_upper","R","R_lower"
"1",5.25782756326891,NA,5.59501627153842,NA,1980,19391.788225933,18407.3567182075,17422.925210482,65710.0794750528,60578.1231264651,55446.1667778773,0.394569341996825,0.349228862516674,0.303888383036523,93233.9069874546,73000.2102374598,52766.513487465
"2",4.15171541841023,NA,5.49794983964553,NA,1981,12013.0761413049,10354.6159428133,8696.15574432164,54191.8089108876,49013.3991852737,43834.9894596597,0.269419613620514,0.241790026574096,0.214160439527678,81091.5165958685,57789.4190637788,34487.3215316892
"3",3.52157438377483,NA,4.3042307612643,NA,1982,18237.7388879681,15948.5804798226,13659.4220716771,49140.9422401298,44727.8678863124,40314.7935324951,0.494619477891105,0.432716440739088,0.370813403587071,87873.160482011,69086.6046566515,50300.048831292
"4",2.79230720220876,NA,3.42946102599974,NA,1983,19370.8335508385,15963.3675373246,12555.9015238107,38030.2163353107,34345.7155397633,30661.214744216,0.60819907540467,0.538614866775308,0.469030658145945,66535.7454127709,49790.2444847489,33044.7435567269
"5",1.76507132534408,NA,2.5859118910077,NA,1984,16048.6602258949,14026.4668475397,12004.2734691846,28107.3691166525,25424.2564169687,22741.1437172849,0.70781722838696,0.660408535327366,0.612999842267771,69511.6383121862,53151.6749720888,36791.7116319914
"6",1.2904790541207,NA,2.03556880300503,NA,1985,10979.0328804653,9244.85125767205,7510.66963487878,18624.5907312701,16739.8557879579,14855.1208446457,0.770879199013256,0.718379809693014,0.665880420372773,65081.061060187,53243.2403459262,41405.4196316654
"7",1.13473092447254,NA,1.83036143951196,NA,1986,5959.23367661167,4902.30672253537,3845.37976845907,14957.1348614646,12677.1367674505,10397.1386734365,0.476308973544528,0.421205188189104,0.36610140283368,74350.1877464846,49958.2990652732,25566.4103840617
"8",1.24797869441043,NA,1.68748724486525,NA,1987,9173.28027481534,7044.83917123369,4916.39806765203,16223.5967140164,13178.5824676573,10133.5682212982,0.639164020908707,0.552088929369234,0.465013837829762,61084.9769769068,42937.1856696967,24789.3943624866
"9",1.16800765744485,NA,1.91354850879085,NA,1988,7669.43246054423,5746.10367617877,3822.7748918133,15698.9109698995,12371.1467312404,9043.38249258131,0.568881196679625,0.505526820821084,0.442172444962543,89943.7943738501,69329.0562038557,48714.3180338613
"10",1.29837506421427,NA,1.94715747279771,NA,1989,4979.54211966967,3514.9802399004,2050.41836013114,17531.9052479186,12959.7160183176,8387.52678871667,0.365963856116626,0.331065275218668,0.296166694320711,71068.9493689305,53505.9355396457,35942.9217103608
"11",1.39151905834072,NA,2.40767397469558,NA,1990,6485.31448493697,4745.42923928534,3005.5439936337,19389.4665033914,13966.5638980925,8543.66129279367,0.502471379685999,0.436258906484195,0.37004643328239,83786.3285062879,64897.8250415857,46009.3215768834
"12",1.91440403713912,NA,2.59318027900546,NA,1991,10655.5797866042,7440.02934877267,4224.47891094109,26160.8210004855,18182.0354851485,10203.2499698115,0.435537335319113,0.395686466588068,0.355835597857023,96890.646579756,66260.9501134226,35631.2536470893
"13",1.80458197284414,NA,2.12258610748585,NA,1992,11005.7328578619,7683.6543463711,4361.57583488029,24657.8355982646,18223.3053561366,11788.7751140086,0.50242256360212,0.452155424992003,0.401888286381886,79593.7875559244,56676.3115491894,33758.8355424546
"14",1.91019723663284,NA,2.22126548004283,NA,1993,10086.9933326211,7193.57717865706,4300.16102469306,23472.9750229241,18028.2834057623,12583.5917886005,0.548944473494902,0.465082555565138,0.381220637635373,104495.891804426,68810.0812208565,33124.2706372867
"15",1.53929621829228,NA,1.86993528620357,NA,1994,11410.8261434752,8822.9401290425,6235.05411460981,22188.255899803,18252.7053510303,14317.1548022576,0.659435976682768,0.560865151243321,0.462294325803874,71197.7351055527,55573.3725140978,39949.0099226429
"16",1.45812134269999,NA,2.31336524795514,NA,1995,7100.07190027709,5573.25254356966,4046.43318686223,19318.68486292,15773.2810868094,12227.8773106987,0.444386631501902,0.405749470670581,0.36711230983926,67065.7178404657,53419.0516277041,39772.3854149424
"17",1.56858965702662,NA,2.33706996690508,NA,1996,5366.11661071383,4014.24453442492,2662.37245813602,23545.8364010865,17399.5781104993,11253.319819912,0.306487652074244,0.274735343225995,0.242983034377746,91477.3731988136,64214.0413185549,36950.7094382962
"18",1.68785081558101,NA,2.78683782145279,NA,1997,10955.0924362769,6589.68452023829,2224.27660419974,28529.6564588413,19344.0660529463,10158.4756470514,0.368017099548894,0.324528479884399,0.281039860219904,63238.0634338044,51214.9307137622,39191.7979937199
"19",1.3981880837628,NA,2.08478212103873,NA,1998,6019.60880957028,4469.1425718574,2918.67633414452,23710.1992302873,18102.7276125061,12495.2559947248,0.335788704505054,0.289169208393546,0.242549712282038,71095.9289803519,60427.06741099,49758.2058416282
"20",1.54698573207292,NA,2.82638275243855,NA,1999,5069.61604282726,3883.12993326465,2696.64382370204,27050.6181777033,20528.4449649536,14006.2717522038,0.260183292139204,0.230257220989567,0.20033114983993,62724.1706750469,45794.494844007,28864.8190129671
"21",1.93110732810699,NA,2.53029684024684,NA,2000,4749.41293492263,3523.63098176,2297.84902859737,31081.5662458213,24017.0380778868,16952.5099099524,0.19804884469479,0.173245673119337,0.148442501543884,90158.5762437759,62288.0192825228,34417.4623212698
"22",1.76564482708491,NA,2.37763059624084,NA,2001,6430.95242389512,4835.97534587738,3240.99826785963,30775.5281625988,24401.7427116002,18027.9572606017,0.275202442670496,0.243745771039153,0.212289099407809,87791.7621209335,61353.0682137665,34914.3743065996
"23",1.77681343558205,NA,1.92691054877922,NA,2002,6607.11199778049,5062.65201184561,3518.19202591073,29023.3741949087,22481.5535650238,15939.7329351388,0.311747099850683,0.26850948565168,0.225271871452676,101053.599482695,70746.0293615125,40438.4592403299
"24",1.73092227022695,NA,2.86895629828684,NA,2003,6408.03270948116,4857.61822868338,3307.2037478856,32209.8263079527,23841.0013536689,15472.1763993851,0.255259307793696,0.22844734491861,0.201635382043524,84985.0918119306,63141.5411351219,41297.9904583132
"25",1.49113919831786,NA,2.02619783582187,NA,2004,5919.01681764562,4539.26132885396,3159.50584006231,31231.2369759693,23067.4394049349,14903.6418339006,0.269561955715695,0.229800020368199,0.190038085020704,77337.0808416021,56961.918875428,36586.7569092539
"26",1.97308458786185,NA,2.25293071796103,NA,2005,4035.99997263036,3179.93671435073,2323.87345607111,31483.0922526442,23541.5155172195,15599.9387817949,0.165074825523794,0.149008077764763,0.132941330005731,75718.0525375575,56216.9159186471,36715.7792997367
"27",1.83123426284952,NA,2.13296062374108,NA,2006,4151.32057343874,3147.96847178418,2144.61637012962,33084.9923655453,24717.3077536024,16349.6231416595,0.171665968658917,0.151602568032149,0.131539167405381,90166.9568308555,71363.6065867231,52560.2563425907
"28",2.23813428206048,NA,2.58072080015401,NA,2007,3560.35995115035,2782.74969329122,2005.13943543208,34843.5611980578,27004.905897006,19166.2505959542,0.115649574819939,0.102181285055297,0.088712995290654,77621.405874531,59331.5649877117,41041.7241008924
"29",2.06964235747671,NA,2.29079277151149,NA,2008,3819.167223912,2891.09684268495,1963.02646145789,36836.5151488977,27867.7008616019,18898.886574306,0.130788207973987,0.116442205934893,0.102096203895798,80742.3708005351,61900.5913744164,43058.8119482978
"30",NA,2.35513449881907,NA,2.98450801836675,2009,3347.0894213737,2582.18720544766,1817.28498952162,35742.8950367809,27219.2984476768,18695.7018585726,0.127025787630815,0.115978736642593,0.104931685654372,68061.9800834754,52547.0554531557,37032.1308228359
"31",NA,2.34437690405679,NA,2.40550593425592,2010,3405.4660769531,2426.56540782525,1447.66473869741,32688.6039315643,25540.4950300497,18392.3861285351,0.118027977923316,0.104298237024574,0.0905684961258315,47523.4411327061,39269.3441278887,31015.2471230714
"32",NA,1.74367393556945,NA,2.55519887411549,2011,2177.95139596751,1440.05550884885,702.159621730198,34510.3228397004,26069.2771959779,17628.2315522553,0.071922576638267,0.0609789121185777,0.0500352475988883,97073.4363107317,74815.9080682393,52558.379825747
"33",NA,2.15350434165394,NA,3.15781082423815,2012,2129.03097211556,1533.4175818055,937.80419149543,35313.8742440683,26397.695531124,17481.5168181798,0.0690402891363941,0.0615647884896916,0.0540892878429891,60841.7259627844,45818.4488761942,30795.1717896041
"34",NA,2.30661033231224,NA,3.23195695948876,2013,1795.00922476721,1387.99270970488,980.976194642561,34415.0576180699,26820.6540233544,19226.2504286389,0.06178097012782,0.0558178303959142,0.0498546906640085,77218.1224450481,57253.1452836545,37288.168122261
"35",NA,2.25578032922017,NA,3.02722965780359,2014,1867.73574892904,1343.05237180443,818.36899467982,40655.9339255871,32363.5443422037,24071.1547588203,0.0483822440947564,0.0431648228958792,0.0379474016970021,67611.5932362028,49826.2751975745,32040.9571589461
"36",NA,3.07878054858978,NA,3.97597573333717,2015,1640.57035074276,1225.80042448896,811.030498235159,43824.8707165241,36144.2755919435,28463.680467363,0.0432959693483554,0.0385627150375303,0.0338294607267052,79475.4350358311,61369.9887872556,43264.5425386801
"37",NA,3.89002251292524,NA,4.52760530919947,2016,1299.42032148762,1025.25987028245,751.099419077274,48331.2726798331,41141.4710082133,33951.6693365935,0.032773071452891,0.0294185707278392,0.0260640700027875,87077.0196961913,63014.6745856981,38952.3294752049
"38",NA,3.27269856843182,NA,3.82672330528219,2017,1236.81337210462,1033.22716357674,829.640955048855,48141.7314393111,41482.5257394602,34823.3200396093,0.0312210061174845,0.0274434232181925,0.0236658403189005,85071.8037681529,64766.9890173069,44462.174266461
"39",NA,2.95806169447194,NA,3.35440917134159,2018,1252.66639603261,1055.91648257272,859.166569112834,46615.2421983469,40163.856549247,33712.4709001472,0.0319323155418038,0.0283399467691142,0.0247475779964247,92151.2601596808,69147.3823668052,46143.5045739296
"40",NA,3.13841173097058,NA,3.53201320705022,2019,1476.51022823398,1204.8085088011,933.10678936822,46611.071572184,39923.3450182386,33235.6184642932,0.0410596660985863,0.0364413460577087,0.0318230260168312,70557.047474619,53939.3506580831,37321.6538415472
